metric,value
schema_version,1
recorded_at,2026-09-01T15:48:39Z
commit,ca1aea7689bb2b5b8b62294504ce136f4e92a7b0
evidence_mode,full
run_count,5
environment.os,macOS-26.6-arm64-arm-64bit-Mach-O
environment.python,3.13.1
environment.machine,arm64
environment.processor,arm
environment.cpu_count,8
environment.total_memory_bytes,17179869184
runtime.startup_median_ms,223.499
runtime.idle_import_process_rss_bytes,20512768
runtime.config_routing_overhead_us_per_call,3.4596
runtime.runtime_python_loc,18033
runtime.direct_runtime_dependency_count,3
memory_retrieval.fixture_version,1
memory_retrieval.queries,8
memory_retrieval.top1_hits,8
memory_retrieval.top1_accuracy,1.0
memory_retrieval.mode,deterministic local lexical fixture
orchestration.fixture_version,1
orchestration.dependency_order_passed,True
orchestration.handoff_completion_passed,True
orchestration.failure_reporting_passed,True
orchestration.repair_behavior_passed,True
orchestration.receipt_generated,True
orchestration.mode,deterministic fixture; no model calls
minimum_tested_host.status,deterministic demo verified
minimum_tested_host.container_memory_limit_bytes,268435456
minimum_tested_host.container_cpu_limit,0.5
minimum_tested_host.scenario,repo-task
minimum_tested_host.scope,"Pinned Python 3.13 slim image build, command smoke, real fixture unit test, and receipt generation. A live Telegram bot/provider was not tested under this limit."
clean_install.venv_create_seconds,6.877
clean_install.install_seconds,4.245
clean_install.installed_distribution_count,10
clean_install.command_smoke_passed,True
clean_install.network_and_cache_state,live PyPI resolution; local pip cache may be used
